"GRID_ID","Mean_SWF","Mean_SHDI","SD_SHDI","Mean_Elev","Mean_Slope","Mean_Aspect","Mean_Temp","Mean_Rs","Mean_P","Mean_Soil_pote","SD_Rs","SD_P","SD_Temp","SD_Soil_pote","SD_Elev","SD_Aspect","SD_Slope","Mean_Bulk_Dens","SD_Bulk_Dens","Mean_Ca_Exg","SD_Ca_Exg","Mean_Clay","SD_Clay","Mean_Sand","SD_Sand","Mean_Silt","SD_Silt"
"AA-14",0.368602222677821,0.201782023181889,0.358488655211187,0.090752311733118,0.461742063653574,0.78810123448309,0.469608583520581,0.455196410239838,0.397572781097357,0.174647836013197,0.261723567297175,0.293700080290904,0.208265380338138,0.58676772453451,0.803497834294506,0.555020190232379,0.339382407298383,0.563510071623056,0.314518218903893,0.185411793570938,0.162170218626228,0.841923015083283,0.5976833196857,0.563549870006512,0.0874766435355578,0.669246376243882,0.596528180029421
"AA-15",0.270016392840489,0.345665680554841,0.307099268852392,0.269758691204067,0.202674340823236,0.366034404366557,0.227382140516641,0.280700025585838,0.1578926453665,0.436627095351359,0.403146458342975,0.319140002779058,0.166970130857916,0.348492631983748,0.189702115072934,0.49001392193736,0.245308398336088,0.236696251797608,0.21051863266282,0.44470646262891,0.178285843508875,0.470534091847023,0.333737856276447,0.561733011296643,0.364765218671438,0.375102902560422,0.2334104871195
"AA-16",0.162212200268052,0.352470032869648,0.259450234577399,0.0577885271595528,0.0383826717035632,0.22046458852922,0.0995229198318431,0.51761975793096,0.282860304923101,0.39593940212685,0.270274831039535,0.25324790158549,0.245748149298446,0.283484926862609,0.322329464855911,0.153060051968671,0.209385520761498,0.334539152527615,0.111630928978908,0.404931247857041,0.0888482609533457,0.310759038115142,0.452583103584407,0.0356371905212614,0.318663006210643,0.378210110743014,0.180025640819114
"AA-19",0.751687144186276,0.779135085500605,0.820606209704262,0.0944054481060262,0.631925308555601,0.138644894504157,0.830492251421732,0.530592057623107,0.724230678127638,0.535191935325157,0.298686173795382,0.260913242356318,0.0913732908796264,0.829546238357849,0.419885968917458,0.402475245700031,0.37635139004375,0.606611640818341,0.0424218631302068,0.021153079690195,0.0858396846679089,0.119967931746134,0.0702599601284385,0.0856413971292834,0.0967067897038344,0.462243686234203,0.108972309311756
"AA-20",0.124195799432789,0.577620507191917,0.606831955420546,0.355788813948228,0.405750123440526,0.265191898853581,0.840886093801884,0.348243219821159,0.564639781110984,0.248498178780596,0.108101560401058,0.0257103390210883,0.226428878014169,0.264597614142357,0.533189427530459,0.244179604388734,0.6985805491752,0.672587772552731,0.173117267643865,0.180475711993165,0.196720366368996,0.300460729658974,0.276309788730157,0.251381569163717,0.139588241642313,0.348858002350601,0.261336108899256
"AA-21",0.251842999334228,0.0245892536803859,0.163995279357128,0.362878038558017,0.367767278883362,0.368297287579875,0.425242977800657,0.265806348927199,0.288362661332129,0.365342337041186,0.00371211990388373,0.00653610735832118,0.163529909753732,0.0913560147225169,0.572856913215565,0.355303326296171,0.746959479503681,0.734336764165458,0.0591257158653788,0.197987715859277,0.142970257687984,0.254888781598676,0.723769853094782,0.0423938778162338,0.10531345629466,0.445620171688789,0.757553588923009
"AB-10",0.323543915378685,0.291638687994206,0.449392313131753,0.296748762377975,0.173522953685903,0.393543840080602,0.29727183497012,0.2360163831569,0.349910416845782,0.313213218420538,0.477331845054177,0.0285758796091569,0.171360001096317,0.153215275360895,0.220105846354643,0.576738627127998,0.345702441076328,0.535415643311784,0.47497004223216,0.43004674158241,0.631211888640913,0.576059493648497,0.510351014821276,0.363608358123578,0.0755751683959692,0.480458447676447,0.0975279888083579
"AB-11",0.239231062866627,0.0341878092466713,0.11242659774387,0.630611770528057,0.659469606402674,0.0696588742507186,0.700828896160592,0.703582343991253,0.833771501537305,0.291951022086095,0.170438472747688,0.286099027990732,0.0289986484972386,0.788562987529861,0.763027938806123,0.821949638835071,0.760929402919189,0.602462848193932,0.2700917575701,0.0826522514624069,0.161316780803135,0.450979526866428,0.711153631813464,0.563668085741791,0.417843263062038,0.695365938660326,0.673893613282615
"AB-12",0.0885796815616771,0.284765973989956,0.223944136255738,0.719516281360224,0.183153917811395,0.311378169140754,0.55391705587696,0.376943620217992,0.554667192590006,0.385994721440435,0.00823653760668468,0.182536634800466,0.109860423439269,0.802660462949657,0.610791902485644,0.391812464684957,0.35635433109432,0.568426841183002,0.217941991395945,0.301874296175421,0.0147936996526692,0.699636702471633,0.62114067709151,0.200957401570862,0.110158964322075,0.797149505814594,0.640559561241019
"AB-14",0.0916423791285473,0.325385657198671,0.00390457689659098,0.643971529609218,0.352358438120297,0.202142581834752,0.607966396187192,0.581593415727036,0.740678250473955,0.373749357226438,0.280587311038481,0.311686983616943,0.226783809987025,0.745369084597114,0.627347194271434,0.701944319329459,0.342770232656921,0.657571738662922,0.200439328148963,0.183712765740569,0.0347992767788604,0.701222629870755,0.726235829092554,0.421285532136233,0.430682989993808,0.704908551017683,0.724129299141038
