GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AB-19,564.38,287.58,1.16,0.91,0.74,359.79,13.79,200.81,18.48,276.42,1.68,47.28,0.85,0.2,0.34,2.1,16.91,102.64,8.74,1.1018,0.6133,16.001,15.138,25.173,27.392,23.063,20.616,40.537,32.082
AB-20,548.81,288.02,2.23,0.97,0.74,309.65,12.81,182.8,19.21,260.86,1.32,47.2,1,0.08,0.33,1.95,20.09,85.23,7.83,1.1264,0.6072,14.95,14.042,27.08,29.399,21.619,20.332,40.604,33.091
AB-21,517.96,254.93,2.57,1.47,1.05,269.13,27.89,220.11,20.21,290.07,1.71,50.2,0.71,0.04,0.14,9.18,44.49,102.68,24.01,1.0593,0.6235,14.924,14.123,28.592,30.924,20.809,20.629,40.765,33.554
AB-8,617.28,91.02,5.22,1.36,1.22,422.56,20.02,261.67,0,0,0,43.61,1.5,0.09,0.25,0.96,52.85,94.33,11.2,1.0918,0.6352,18.251,18.501,26.713,26.712,20.233,18.115,40.687,31.683
AB-9,521.43,83.58,7.51,1.23,1.11,484.41,27.17,103.39,0,0,0,43.94,1.15,0.19,0.31,1.08,65.9,100.77,14.36,1.131,0.6454,18.595,19.459,26.394,26.561,21.805,18.163,39.164,30.085
AC-10,518.01,45.16,0.47,1.23,0.89,529.78,29.96,233.44,0,0,0,0,2.6,0.13,0.09,0,63.41,107.02,15.95,0,0,0,0,0,0,0,0,0,0
AC-13,566.73,49.32,6.07,1.37,1.15,420.03,24.71,192.78,0,0,0,45.27,1.78,0.08,0.12,0,43.98,127.65,16.74,1.0784,0.6265,18.128,17.377,25.432,26.727,24.836,21.458,38.442,30.593
AC-14,568.86,246.48,3.81,1.36,1.25,458.82,19.18,137.78,16.05,271.81,2.91,45.33,2.69,0.32,0.25,2.11,45.36,88.21,11.64,1.131,0.6347,17.963,17.804,25.81,26.187,22.517,20.082,39.993,31.576
AC-15,549.46,180.95,1.52,1.26,1.05,425.02,14.8,172.37,0,0,0,47.99,2.97,0.26,0.07,1.2,14.74,94.74,10.39,1.0916,0.6231,16.979,16.438,26.959,26.817,22.108,19.639,39.055,31.139
AC-16,496.55,129.33,0.94,1.21,0.88,367.44,26.06,191.14,0,0,0,48.95,2.34,0.18,0.27,2.94,36.36,103.8,18.47,1.0596,0.6163,15.883,16,27.133,28.18,24.125,21.216,37.682,30.762
AC-18,515.86,259.54,2.44,1.15,0.94,370.27,25.77,215.82,19.65,248.29,2.24,47.16,1.54,0.04,0.31,1.31,34.05,108.45,21.7,1.1279,0.6234,15.914,14.949,25.834,27.721,23.994,21.309,38.94,31.342
AC-19,520.04,259.64,1.9,1.11,0.91,346.15,13.81,206.49,19.22,276.92,0.87,49.55,2.26,0.21,0.21,6.8,20.26,79.6,10.06,1.1356,0.6103,16.136,15.044,25.919,28.177,22.578,20.357,40.313,32.032
AC-20,517.35,248.3,0.97,0.92,0.8,316.87,15.33,208.4,18.83,225.65,5.18,65.62,1.64,0.06,0.23,10.17,18.96,101.06,9.38,1.084,0.6118,15.175,14.293,26.428,29.238,22.057,20.733,41.027,33.375
AC-21,550.79,256.13,2.06,1.51,1.31,270.78,25.66,182.62,19.55,271.78,1.47,56.81,1.85,0.23,0.22,11.8,53.15,87.04,19.91,1.0733,0.6161,14.938,14.722,27.876,30.455,21.262,21.528,41.3,33.49
AC-22,554.65,238.84,3.45,1.44,1.31,299.25,36.5,206.73,19.65,275.53,0.76,40.39,1.33,0.16,0.01,6.42,67.46,114.44,23.42,1.0605,0.6121,15.023,15.336,25.782,28.703,24.943,22.8,39.294,32.564
AC-8,577.24,76.75,2.93,1.29,1.11,552.33,32.39,226.09,0,0,0,0,1.04,0.14,0.56,0,79.21,70.3,15.78,1.0857,0.6409,19.46,19.608,26.975,26.974,20.441,18.374,40.203,31.053
AC-9,553.78,133.61,2.72,1.32,1.14,483.36,31.14,215.08,0,0,0,43.44,2.55,0.08,0.42,0.84,44.17,108.38,17.39,1.1086,0.6424,17.802,17.989,26.793,26.874,20.628,17.909,40.179,30.698
AD-12,743.58,61.96,3.26,1.25,1.13,524.79,32.38,201.87,0,0,0,0,2.85,0.06,0.22,0,89.28,77.74,22.66,0,0,0,0,0,0,0,0,0,0
AD-13,689.09,32.1,3.09,1.22,0.95,509.6,34.65,215.24,0,0,0,0,1.61,0.09,0.29,0,59.07,117.33,21.88,0,0,0,0,0,0,0,0,0,0
AD-14,575.22,274.37,4.05,1.36,1.16,452.12,13.79,178.3,16.86,280.25,1.52,47.08,0.62,0.2,0.08,1.57,31.45,66.98,9.21,1.1329,0.6342,18.55,18.338,25.9,26.351,22.392,19.341,39.868,31.092
AD-15,561.74,256.74,5.13,1.41,1.23,385.96,14.15,168.05,16.07,292.11,1.4,46.91,1.57,0.13,0.15,1.79,15.27,103.56,10.22,1.1208,0.6183,16.805,16.622,26.375,27.115,24.039,21.203,38.203,31.399
AD-16,566.47,114.76,1.37,1.3,1.16,390.43,26.1,204.83,16.05,241.38,4.41,47.47,1.61,0.16,0.14,0,29.33,113.45,20.91,1.0622,0.6167,16.418,16.643,26.849,27.504,24.253,21.487,37.473,30.804
AD-18,596.62,224.07,1.79,1.31,0.85,423.52,18.14,206.65,18.68,276.63,0.73,47.7,1.15,0.11,0.18,0.66,27.86,74.27,13.42,1.0967,0.6258,16.512,15.795,26.079,26.957,22.883,19.978,38.985,30.91
AD-19,510.21,250.08,0.63,1.11,0.84,385.4,13.83,190.53,18.1,272.12,2.06,47.78,0.78,0.18,0.2,1.18,21.8,91.42,7.98,1.1127,0.6173,16.164,14.958,26.255,27.674,24.037,21.42,38.465,31.565
AD-20,572.05,275.95,2.6,0.92,0.76,308.73,19.06,147.64,18.84,277.76,1.82,68.22,0.7,0.17,0.12,3.22,33.92,79.09,11.5,1.1064,0.6077,15,14.391,24.607,26.955,23.584,21.086,40.846,32.317
AD-21,500.89,222.4,4.13,1.45,1.23,237.14,20.6,158.58,0,0,0,61.91,2.03,0.29,0.08,5.78,44.35,88.19,15.79,1.0958,0.6048,14.883,14.48,28.317,30.519,21.479,22.229,40.906,33.436
AD-22,499.34,178.83,2.31,1.46,1.17,323.39,41.26,181.44,19.64,269.57,1.47,53.49,3.84,0.21,0.32,13.18,78.38,133.97,26.33,1.0611,0.6145,14.554,14.435,27.903,30.486,21.505,21.614,41.047,33.519
AD-23,554.99,261.9,1.37,1.03,0.86,329.09,25.53,181.24,20.32,285.71,3.29,30.93,0.58,0.15,0.05,1.99,39.54,105.59,15.09,1.0612,0.62,15.04,15.361,27.157,29.952,21.537,21.468,41.718,33.577
AD-24,467.98,201.77,1.49,1.1,0.86,338.16,23.75,194.27,20.31,277.98,1.81,30.07,1.4,0.13,0.04,1.49,45.34,95.81,14.05,1.0825,0.623,15.034,14.985,28.316,30.62,20.717,20.599,41.143,33.347
AD-25,571.72,67.06,1.64,1.04,0.69,313.03,20.55,176,0,0,0,31.8,1.68,0.06,0.17,0.96,25.36,103.36,13.77,0,0,0,0,0,0,0,0,0,0
AE-12,554.31,91.31,9.48,1.45,1.2,458.13,41.73,185.93,17.76,285.36,1.24,0,1.48,0.16,0.41,0,65.37,117.04,21.46,0,0,0,0,0,0,0,0,0,0
AE-13,642.86,178.6,2.41,1.41,1.24,498.72,17.4,199.19,15.69,271.58,2.99,46.98,1.15,0.21,0.34,0.92,29.85,86.16,11.49,1.0977,0.6416,19.77,19.838,25.107,27.066,23.544,20.762,40.278,31.251
AE-14,526.58,186.53,5.07,1.25,1.1,430.66,15.67,209.03,17.3,273.54,3.06,47.9,2.08,0.22,0.23,1.42,32.21,74.07,11.9,1.112,0.628,18.695,18.986,25.949,26.77,22.649,19.671,39.455,30.898
AE-15,548.08,253.55,2.6,1.28,1.13,410.92,11.32,209.78,17.38,295.59,0.84,47.94,0.55,0.08,0.12,1.31,11.83,107.63,7.78,1.1267,0.6148,16.628,16.693,26.978,26.703,23.037,20.176,37.857,30.248
AE-16,564.29,22.71,0.53,1.16,0.8,464.65,16.46,211.24,0,0,0,0,0.5,0.03,0.13,0,20.09,108.88,12.33,0,0,0,0,0,0,0,0,0,0
AE-17,600.11,48.24,0.18,1.32,0.52,458.87,12.58,189.62,0,0,0,0,1.74,0.07,0.25,0,12.38,101.47,9,0,0,0,0,0,0,0,0,0,0
AE-18,536.65,264.48,2.99,1.37,1.05,395,11.41,184.03,18.39,273.49,2.39,54.59,0.99,0.07,0.17,10.63,19.42,89.09,6.97,1.125,0.6165,16.416,15.33,26.012,26.957,24.551,21.801,38.464,31.925
AE-19,551.01,121.56,0.63,1.12,0.94,324.3,22,190.76,17.67,272.27,2.61,67.5,0.68,0.19,0.13,3,29.16,84.41,13.19,1.0481,0.613,15.414,14.795,25.132,27.361,25.605,22.38,39.159,32.286
AE-20,520.17,256.36,3.46,1.43,1.21,273.98,26.86,188.45,19.52,263.48,2.74,63.01,0.59,0.22,0.22,3.57,41.44,90.53,17.69,1.1061,0.6034,14.105,13.377,26.39,28.424,22.647,21.317,40.782,33.069
AE-21,524.98,270.2,5.81,1.56,1.37,194.98,15.97,160.36,18.49,264.76,2.19,64.46,1.66,0.12,0.15,2.85,25.78,113.42,16.16,1.1371,0.6007,16.069,15.8,28.657,30.13,23.888,24.423,38.234,33.114
AE-22,573.49,258.65,3.87,1.51,1.41,254.69,32.28,167.38,20,239.96,0.59,41.64,1.32,0.23,0.11,14.1,35.7,114.7,22.88,1.0827,0.6135,15.068,14.933,28.823,30.461,21.369,21.943,40.182,33.23
AE-25,537.45,177.2,0.87,1.19,0.98,295.67,24.91,190.14,0,0,0,34.44,2.27,0.06,0.11,11.49,22.73,105.27,16.05,1.0673,0.6217,15.47,14.923,26.906,29.497,19.256,19.843,43.683,33.921
AF-10,635.82,14.78,4.51,1.14,1,646.9,31.82,186.25,0,0,0,0,3.45,0.31,0.11,0,69.36,94.83,16.87,0,0,0,0,0,0,0,0,0,0
AF-11,619.5,51.78,8.53,1.32,1.2,524.39,35.06,168.81,0,0,0,0,0.61,0.1,0.27,0,60.67,97.33,18.2,0,0,0,0,0,0,0,0,0,0
AF-12,676.65,55.64,7.62,1.36,1.19,509.32,38.31,247.02,0,0,0,0,1.16,0.18,0.39,0,69.84,89.32,20.06,0,0,0,0,0,0,0,0,0,0
AF-13,636.88,36.43,6.43,1.3,0.99,600.74,22.62,218.93,0,0,0,0,2.02,0.25,0.07,0,53.89,90.8,14.93,0,0,0,0,0,0,0,0,0,0
AF-14,613.07,179.16,6.48,1.39,1.28,504.96,19.14,176.32,0,0,0,41.12,1.52,0.23,0.11,5.18,38.32,75.54,11.72,1.1126,0.6406,19.162,19.832,25.812,27.142,22.454,19.843,39.96,30.913
AF-15,557.23,130.28,3.37,1.42,1.27,471.49,18.29,211.29,0,0,0,46.96,1.62,0.25,0.34,1.78,29.93,103.97,12.17,1.107,0.6252,17.161,17.427,26.155,26.462,22.06,18.751,39.704,30.842
AF-16,1125.39,134.75,1.06,1.29,1.02,470.92,15.72,206.78,0,0,0,48.21,0.97,0.12,0.2,1.65,22.66,119.02,11.09,1.0664,0.6208,16.289,16.837,25.808,25.796,21.252,18.294,40.569,30.645
AF-18,506.67,173.9,1.64,1.37,1.08,390.5,13.06,157.59,0,0,0,52.84,0.95,0.09,0.27,9.47,33.83,45.89,7.02,1.0487,0.6154,15.78,15.365,26.576,28.094,23.587,20.995,39.018,31.788
AF-19,564.22,290.1,1.98,1.36,1.17,351.15,19.25,158.36,19.33,245.14,1.79,69.26,1.41,0.05,0.33,2.2,28.22,104.19,13.11,1.094,0.607,15.122,14.336,26.522,28.829,24.312,22.316,38.976,32.292
AF-20,531.72,277.95,5.11,1.52,1.22,254.23,17.52,145.32,19.02,271.74,2.18,65.52,0.73,0.17,0.52,4.54,33.73,71.21,11.85,1.1111,0.603,14.045,13.412,27.37,29.018,23.797,22.213,38.626,32.473
AF-21,546.11,281.02,8.39,1.55,1.38,227.28,22.46,188.24,18.9,261.5,2.81,52.09,0.24,0.2,0.12,16.57,39.53,86.69,19.52,1.1347,0.6,14.422,13.595,28.611,29.506,21.817,22.146,39.64,33.22
AF-22,533.74,195.42,4.84,1.57,1.45,215.01,21.07,170.62,19.54,262.23,1.38,44.95,2.11,0.25,0.37,16.79,49.95,116.04,25.99,1.1017,0.6062,16.946,17.432,29.694,30.716,23.309,23.966,37.607,32.994
AF-23,709.38,133.23,5.93,1.55,1.38,309.67,20.9,182.86,0,0,0,30.83,0.86,0.05,0.29,1.36,23.66,105.63,14.27,1.1036,0.6122,15.917,16.789,29.095,30.883,20.919,21.274,40.42,33.359
AF-25,581.55,102.93,5.18,1,0.84,282.5,18.75,193.2,0,0,0,28.9,1.58,0.15,0.63,0,28.79,92.71,12.24,0,0,0,0,0,0,0,0,0,0
AF-26,550.73,276.11,5.83,1.38,1.19,250.5,24.98,168.64,19.65,228.52,5.16,30.42,1.62,0.04,0.08,1.76,29.2,100.18,14.66,0,0,0,0,0,0,0,0,0,0
AG-10,694.04,18.63,5.45,1.2,0.92,618.68,32.27,235.37,0,0,0,0,1.05,0.16,0.54,0,73.26,115.72,18.53,0,0,0,0,0,0,0,0,0,0
AG-11,594.19,36.57,6.25,1.19,0.97,606.41,32.17,204.43,0,0,0,0,1.3,0.22,0.18,0,53.43,107.26,17.89,0,0,0,0,0,0,0,0,0,0
AG-13,625.91,64.95,12.88,1.26,1.06,615.58,28.02,215.25,0,0,0,35.7,2.48,0.18,0.38,0.82,69.42,56.86,13.64,1.066,0.6388,21.435,22.158,26.227,27.364,23.164,21.364,39.495,31.168
AG-14,565.21,186.84,5.57,1.29,1.12,482.79,18.86,182.29,0,0,0,38.87,1.55,0.08,0.54,3.6,48.81,68.91,8.3,1.1236,0.6378,19.345,20.065,26.458,26.751,22.033,19.781,39.638,31.113
AG-15,533.44,147.2,3.94,1.49,1.26,447.31,26.4,143.63,0,0,0,44.08,1.55,0.15,0.5,2.77,44.66,109.4,14.82,1.0846,0.6241,17.36,18.259,26.622,26.754,23.269,20.837,38.784,31.303
AG-17,707.7,47.21,0.03,0.96,0.38,408.08,14.67,165.64,0,0,0,0,1.82,0.23,0.23,0,32.04,59.27,8.24,0,0,0,0,0,0,0,0,0,0
AG-18,548.39,283.67,4.44,1.3,1.11,294.21,14.06,134.98,19.53,282.09,1.45,68.6,0.14,0.18,0.33,3.85,28.12,66.53,8.25,1.1064,0.6124,14.239,13.274,26.858,28.42,23.658,21.548,39.121,32.061
AG-19,537.01,277.77,3.53,1.38,1.13,253.66,16.84,176.61,18.95,265.39,2.84,66.51,1.32,0.26,0.39,3.89,33.08,89.52,12.76,1.1045,0.6082,14.098,13.108,26.571,28.335,23.718,21.799,39.556,32.291
AG-20,583.19,221.62,2.21,1.51,1.25,286.67,39.4,224.63,19.03,266.04,2.54,38.22,0.6,0.21,0.24,15.03,43.7,104.74,24.36,1.0996,0.6062,13.88,13.553,27.151,28.953,21.794,21.201,40.734,33.286
AG-21,582.81,188.64,3.32,1.62,1.45,238.2,30.4,202.74,19.22,269.29,1.35,40.4,1,0.38,0.15,14.55,56.68,92.45,29.29,1.1167,0.6027,15.733,15.486,28.824,30.601,21.314,22.247,40.866,33.611
AG-22,606.41,244.35,6.3,1.61,1.51,255.12,26.48,191.53,18.34,283.44,1.39,32.73,2.1,0.23,0.14,9.34,61.31,131.75,23.38,1.1003,0.6087,16.343,16.574,28.479,30.093,22.129,22.934,40.133,33.314
AG-23,617.15,171.69,3.43,1.29,1.08,312.88,16.83,203.57,0,0,0,46.16,1.73,0.2,0.19,18.3,17.66,90.96,10.59,1.0853,0.6231,14.656,14.721,27.703,29.942,20.822,21.329,41.844,33.67
AG-24,610.98,307.58,1.14,1.1,0.86,300.72,14.67,158.53,21.47,306.69,1.83,70.06,4.03,0.14,0.1,1.57,23.61,95.07,10.3,1.1123,0.6208,15.16,14.632,27.952,29.943,19.691,20.358,42.728,33.836
AG-25,549.97,288.44,4.26,1.29,1.05,267.43,16.86,191.44,18.9,275.38,1.74,64.06,3.99,0.1,0.39,11.43,21,99.51,11.71,1.1648,0.6177,17.785,17.16,28.037,29.685,20.958,21.981,41.988,33.621
AG-9,599.47,29.02,8.13,1.37,1.21,577.17,27.89,169.82,0,0,0,0,3.75,0.27,0.3,0,53.76,86.38,15.14,0,0,0,0,0,0,0,0,0,0
AH-10,562.56,15.1,3.21,1.13,0.89,634.96,25.8,239.44,0,0,0,0,2.75,0.38,0.61,0,54.34,128.49,19.2,0,0,0,0,0,0,0,0,0,0
AH-14,440.93,26.47,4.93,1.17,0.75,563.23,22.5,142.21,0,0,0,0,1.33,0.08,0.29,0,62.82,67.57,14.64,1.0731,0.639,21.25,22.205,26.748,27.209,22.678,21.064,39.259,31.221
AH-15,521.29,112.57,2.03,1.42,1.09,493.11,18.66,183.35,0,0,0,41.73,1.01,0.13,0.42,4.82,34.72,81.56,10.88,1.0894,0.6234,17.113,17.305,26.202,26.436,22.879,19.626,39.113,30.642
